kapr,869,1842.9
lín,26,10.6
cejn,9,8.0
tloust,0,0.0
okoun,9,2.4
parma,0,0.0
ostroretka,0,0.0
podoustev,0,0.0
štika,33,55.8
candát,3,6.3
sumec,0,0.0
úhoř,5,5.2
pstruh obecný,61,22.3
pstruh duhový,20,9.2
lipan,0,0.0
siven,0,0.0
bolen,0,0.0
maréna. peleď,0,0.0
hlavatka,0,0.0
amur,0,0.0
tolstolobik,0,0.0
karas,2,1.0
mník,0,0.0
jelec jesen,0,0.0
ostatní,180,9.6
celkem uloveno,1217,1973.1
počet docházek,3396, 
počet zápisů rs,2, 
počet rybářů,493, 
