kapr,28292,75406.07
lín,323,207.77
cejn,7850,6099.59
tloust,85,55.43
okoun,1283,552.02
parma,1,3.25
ostroretka,2,1.5
podoustev,5,4.06
štika,877,1846.98
candát,3234,5813.38
sumec,1373,7160.84
úhoř,243,241.23
pstruh obecný,6,2.5
pstruh duhový,39,19.43
lipan,1,1
siven,4,1.5
bolen,298,851.58
maréna peleď,0,0
hlavatka,0,0
amur,786,3217.09
tolstolobik,9,193.5
karas,772,239.84
mník,21,3
jelec jesen,32,17.7
ostatní,3434,372.92
bílá ryba,0,0
Celkem,48970,102312.2
